| No  | Color Name             | glColor3f(r, g, b) |
| 105 | Light Goldenrod Yellow | (0.98, 0.98, 0.82) |
| 106 | Pale Goldenrod         | (0.93, 0.91, 0.67) |
| 107 | Cornsilk               | (1.0, 0.97, 0.86)  |
| 108 | Blanched Almond        | (1.0, 0.92, 0.8)   |
| 109 | Bisque                 | (1.0, 0.89, 0.77)  |
| 110 | Navajo White           | (1.0, 0.87, 0.68)  |
| 111 | Light Cyan             | (0.88, 1.0, 1.0)   |
| 112 | Pale Turquoise         | (0.69, 0.93, 0.93) |
| 113 | Azure                  | (0.94, 1.0, 1.0)   |
| 114 | Alice Blue             | (0.94, 0.97, 1.0)  |
| 115 | Ghost White            | (0.97, 0.97, 1.0)  |
